headline,url,published,category
Green Steel: ‘ಹಸಿರು ಉಕ್ಕು’ ಪರಿಸರಕ್ಕೆ ಉಸಿರು,https://www.prajavani.nethttps://www.prajavani.net/technology/science/green-steel-breath-of-fresh-air-for-environment-3494493,1756254600000,science-technology
ISRO Gaganyaan: ಪ್ಯಾರಾಚೂಟ್ ವ್ಯವಸ್ಥೆಯ ಮೊದಲ ಏರ್ ಡ್ರಾಪ್ ಪರೀಕ್ಷೆ ಯಶಸ್ವಿ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/isro-gaganyaan-parachute-air-drop-test-success-3489620,1756034987334,science-technology
ವಯಸ್ಸಿನ ವೇಗಕ್ಕೆ ಬ್ರೇಕ್‌ ಬಿದ್ದೀತೆ?,https://www.prajavani.nethttps://www.prajavani.net/technology/science/how-scientists-measure-ageing-speed-and-its-impact-3479390,1755637860000,science-technology
ಪೇಪರ್‌ ಕ್ಲಿಪ್‌ ಅಂತರಿಕ್ಷ ನೌಕೆ; ಬಾಹ್ಯಾಕಾಶ ಕ್ಷೇತ್ರದ ಬಹು ಮಹತ್ತರ ಸಂಶೋಧನೆ ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/paper-clip-sized-spacecraft-black-hole-exploration-3479389,1755632640000,science-technology
"ತಂತ್ರಜ್ಞಾನ: ಹಾರುವ ಕಾರುಗಳು ಬರುತಿವೆ, ಜಾಗ ಕೊಡಿ",https://www.prajavani.nethttps://www.prajavani.net/technology/science/flying-cars-coming-make-way-3465121,1755042660000,science-technology
ತಂತ್ರಜ್ಞಾನ: ಡೆಲಿವರಿ ಡ್ರೋನ್‌ಗಳು ಬರಲಿವೆ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/drone-delivery-algorithm-iisc-bengaluru-3465120,1755042480000,science-technology
ಸಂಶೋಧನಾ ಕ್ಷೇತ್ರದಲ್ಲಿ ಶತಕೋಟಿ ಡಾಲರ್ ಹೂಡಿಕೆ: ಪ್ರಧಾನಿ ಮೋದಿ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/research-investment-pm-modi-announcement-3466064,1755007902810,science-technology
ಭೂಮಿಯನ್ನು ಹೋಲುವ ವಾಸಯೋಗ್ಯ ಗ್ರಹ ಪತ್ತೆ! ನಮ್ಮಿಂದ ಎಷ್ಟು ದೂರದಲ್ಲಿದೆ?,https://www.prajavani.nethttps://www.prajavani.net/technology/science/nasa-discovers-habitable-earth-like-planet-alpha-centauri-3462573,1754882432595,science-technology
ಪಿ. ಡಿ. ಎಂ. ಎಂಬ ಪದ್ಮಪತ್ರದ ಜಲಬಿಂದು!,https://www.prajavani.nethttps://www.prajavani.net/technology/science/non-stick-pan-safety-teflon-vs-pdms-3450603,1754436600000,science-technology
ಪುರುಷರಿಗೂ ಬಂತು ಗರ್ಭನಿರೋಧಕ ಗುಳಿಗೆ: ಪರೀಕ್ಷಾರ್ಥ ಪ್ರಯೋಗ ಯಶಸ್ವಿ ಎಂದ ವರದಿ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/male-birth-control-pill-human-safety-trial-success-3448790,1754311429565,science-technology
15 ಗಂಟೆಯಲ್ಲಿ ನಾಲ್ವರು ಗಗನಯಾನಿಗಳು ಐಎಸ್‌ಎಸ್‌ಗೆ: ಸ್ಪೇಸ್‌ಎಕ್ಸ್ ಸಾಧನೆ,https://www.prajavani.nethttps://www.prajavani.net/news/world-news/spacex-delivers-four-astronauts-to-international-space-station-just-15-hours-after-launch-3445952,1754144781981,science-technology
ಭಾರತದ ಬಾಹ್ಯಾಕಾಶ ಸಾಧನೆಗೆ ಜಾಗತಿಕ ಮಟ್ಟದಲ್ಲೂ ಮೆಚ್ಚುಗೆ: ಇಸ್ರೊ ಅಧ್ಯಕ್ಷ,https://www.prajavani.nethttps://www.prajavani.net/technology/science/isro-indian-space-achievement-global-recognition-3444216,1754055695936,science-technology
ವಯಸ್ಸು 50 ದಾಟಿತೇ..?: ದೇಹದಲ್ಲಾಗುವ ಪ್ರಮುಖ ಬದಲಾವಣೆ ಇವು ಎಂದ ವಿಜ್ಞಾನಿಗಳು,https://www.prajavani.nethttps://www.prajavani.net/health/ageing-accelerates-after-fifty-says-study-3444127,1754054651298,science-technology
