headline,url,published,category
Cyber Crime: ಫೇಸ್‌ಬುಕ್‌ನಲ್ಲಿ ‘ಕಾಪಿರೈಟ್’ ವಂಚನೆಯ ಜಾಲ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/aware-of-facebook-phishing-scam-about-copyright-vilolation-3493205,1756254600000,Tech-tips-technology
"e-Rupee: ಡಿಜಿಟಲ್ ಪರ್ಸ್‌ನಲ್ಲಿರುವ ನೋಟು ಕೊಳೆಯಾಗದು, ಕಳೆದುಹೋಗದು",https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/digital-rupee-new-e-rupee-for-transactions-and-difference-between-upi-and-e-rupee-3450430,1754436600000,Tech-tips-technology
ಫೋನ್ ಪರದೆ ರಕ್ಷಕ: ಏನಿದು ಟೆಂಪರ್ಡ್ ಗ್ಲಾಸ್?,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/tempered-glass-phone-screen-protector-mobile-display-safety-tips-3391485,1752017400000,Tech-tips-technology
Artificial Intelligence: ನಗರ ಸುಧಾರಣೆಗೆ ಕೃತಕ ಬುದ್ಧಿಮತ್ತೆ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/artificial-intelligence-urban-planning-smart-city-traffic-management-waste-analysis-3392163,1752017400000,Tech-tips-technology
Technology | ಸ್ಮಾರ್ಟ್ ಆಗುತ್ತಿದೆ ಜೀವನ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/smart-technology-robot-vacuum-smart-lock-ott-alexa-smart-home-india-3351007,1750206600000,Tech-tips-technology
ತಂತ್ರಜ್ಞಾನ ಟಿಪ್ಸ್: ಫೋನ್ ಕ್ಯಾಮೆರಾಗಳಲ್ಲಿ ಮೆಗಾಪಿಕ್ಸೆಲ್ ಎಂಬ ಮಾಯೆ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/how-important-is-megapixel-in-smartphones-camera-3336261,1749601860000,Tech-tips-technology
ಉಪಗ್ರಹಗಳ ಮೂಲಕ ಸೌರವಿದ್ಯುತ್!,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/satellite-solar-power-space-energy-wireless-electricity-japan-mission-3323452,1748997000000,Tech-tips-technology
ತಂತ್ರಜ್ಞಾನ: ಈಗ ಇ–ಪಾಸ್‌ಪೋರ್ಟ್ ಸಮಯ!,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/technology-now-is-the-time-for-e-passport-3308854,1748392680000,Tech-tips-technology
ತಂತ್ರಜ್ಞಾನ: ‘ಎಐ’ ಕಾಲದ ಜಾಹೀರಾತು ಜಂಜಡ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/technology-advertising-in-the-age-of-ai-3308942,1748362975897,Tech-tips-technology
"Public WiFi Security Risks: ವೈಫೈ ಉಚಿತ, ಅಪಾಯ ಖಚಿತ",https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/dangers-of-using-free-public-wi-fi-connections-3294880,1747782960000,Tech-tips-technology
"ತಂತ್ರಜ್ಞಾನ: ಐಫೋನ್‌ನಲ್ಲಿ ಕನ್ನಡದ ಕಂಪು, ಆ್ಯಪಲ್ ಇಂಟೆಲಿಜೆನ್ಸ್ ಸಾಮರ್ಥ್ಯ",https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/iphone-kannada-support-apple-ios-technology-india-3275615,1746574200000,Tech-tips-technology
Technology | ದ್ರವರೂಪದ ಮೃದು ಬ್ಯಾಟರಿ,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/liquid-soft-stretchable-battery-for-wearable-electronic-devices-3256353,1745368200000,Tech-tips-technology
"ಥಾಮ್ಸ್‌ನ್‌ನಿಂದ ಕಡಿಮೆ ಬೆಲೆಗೆ ಉತ್ತಮ ಗುಣಮಟ್ಟದ QLED T.V, ಏರ್ ಕೂಲರ್ ಬಿಡುಗಡೆ",https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/thomson-qled-tv-air-cooler-affordable-smart-electronics-india-3252114,1745019000000,Tech-tips-technology
"ಎಚ್ಚರ, ನಿಮ್ಮ ಫೋನ್ ನಿಮ್ಮ ಮಾತು ಕೇಳಿಸಿಕೊಳ್ಳುತ್ತದೆ!",https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/smartphone-privacy-tips-app-permissions-mic-access-control-location-tracking-2-3247507,1744763640000,Tech-tips-technology
ಅಂತರ್ಜಾಲದಲ್ಲಿ ಸಂಚಲನ ಸೃಷ್ಟಿಸಿದ ಶೈಲಿ: ನಿಮ್ಮ Ghibli ಚಿತ್ರ ಮಾಡಿದಿರಾ?,https://www.prajavani.nethttps://www.prajavani.net/technology/tech-tips/ghibli-style-profile-pictures-ai-trend-2-3228146,1743550200000,Tech-tips-technology
